event,course,n,female1,femalemedian,male1,malemedian
2015-10-04-new-plymouth,new-plymouth,140,00:43:54,01:08:041,00:40:53,00:57:10
2016-01-24-albany-lakes,albany-lakes,409,00:38:23,01:04:46,00:33:091,00:53:25
2016-02-14-albany-lakes,albany-lakes,395,00:38:00,01:01:16,00:32:241,00:51:51.5
2016-02-21-wellington-round-the-bays,wellington-round-the-bays,2702,00:37:21,01:06:27,00:34:22,00:56:11
2016-02-28-albany-lakes,albany-lakes,416,00:37:54,01:02:45,00:32:38,00:52:15
2016-03-20-huntly,huntly,173,00:38:02,01:05:421,00:35:27,00:55:40
2016-05-07-waiheke,waiheke,755,00:44:17,01:18:05,00:38:41,01:05:47.5
2016-05-14-hawkes-bay,hawkes-bay,916,00:42:48,01:11:18,00:38:14,01:03:26
2016-05-29-manawatu-striders,manawatu-striders,152,00:38:52,01:04:26,00:35:56,00:49:01.5
2016-06-05-christchurch,christchurch,1162,00:38:17,01:03:21,00:31:23,00:53:45.5
2016-06-05-mt-runners,mt-runners,394,00:43:36,01:01:47,00:35:58,00:53:14
2016-06-26-wellington,wellington,1091,00:36:25,01:03:13,00:33:101,00:55:15
2016-08-06-taupo,taupo,341,00:41:42,01:05:43,00:35:13,00:57:43
2016-09-25-devonport,devonport,338,00:42:01,01:16:24,00:39:12,01:00:08
2016-10-02-hamilton,hamilton,315,00:36:48,01:07:12,00:33:49.000000,00:58:13
2016-11-19-queenstown,queenstown,1513,00:37:14,01:08:39,00:34:28,00:58:45
2016-11-27-podium-rotorua,podium-rotorua,432,00:40:19,01:13:57,00:32:06,00:59:39
2016-12-04-omaha,omaha,171,00:45:39,01:15:42.5,00:41:55,01:00:06
2017-01-22-albany-lakes,albany-lakes,347,00:38:56,01:03:59,00:34:58,00:52:35
2017-02-12-albany-lakes,albany-lakes,349,00:38:09,01:00:26,00:34:04.000000,00:51:06.5
2017-02-19-wellington-round-the-bays,wellington-round-the-bays,2721,00:36:04,01:08:14,00:33:06,00:56:48
2017-02-26-albany-lakes,albany-lakes,386,00:38:07,01:01:51,00:34:24,00:50:46
2017-03-19-huntly,huntly,187,00:39:31,01:07:22,00:35:02,00:57:09
2017-04-01-southern-lakes,southern-lakes,115,00:41:10,01:00:37,00:31:18,00:50:15
2017-04-09-tauranga,tauranga,118,00:39:04,01:03:19,00:34:50,00:52:00
2017-05-06-waiheke,waiheke,437,00:43:43,01:14:56,00:37:09,01:01:46
2017-05-13-hawkes-bay,hawkes-bay,962,00:41:18,01:09:05,00:35:51,00:59:15
2017-05-28-manawatu-striders,manawatu-striders,157,00:38:17,01:04:26.5,00:38:41,00:54:25
2017-06-04-christchurch,christchurch,982,00:37:21,01:04:48,00:30:30,00:54:44
2017-06-04-mt-runners,mt-runners,313,00:37:45,01:03:23,00:34:59,00:54:59
2017-06-18-wellington,wellington,862,00:36:42,01:03:22,00:33:19.000000,00:54:44
2017-08-05-taupo,taupo,364,00:40:01,01:06:46,00:39:19,00:56:09
2017-09-24-devonport,devonport,378,00:43:12,01:12:42,00:38:02,00:59:20.5
2017-10-01-new-plymouth,new-plymouth,89,00:47:02,01:10:20.5,00:36:58,00:58:31
2017-10-08-hamilton,hamilton,213,00:40:53,01:05:40.5,00:34:58,00:56:30
2017-11-18-queenstown,queenstown,1723,00:39:02,01:08:27,00:33:28,00:59:23
2017-11-26-podium-rotorua,podium-rotorua,375,00:36:52,01:11:45.5,00:33:31,00:59:21
2017-12-10-omaha,omaha,368,00:41:44,01:14:16.5,00:38:04,00:59:07.5
2018-01-21-albany-lakes,albany-lakes,338,00:42:19,01:06:09.000000,00:34:20,00:51:56
2018-02-18-wellington-round-the-bays,wellington-round-the-bays,2946,00:36:57,01:08:46,00:32:08,00:58:27
2018-02-25-albany-lakes,albany-lakes,310,00:40:42,01:04:11,00:33:13,00:50:05.5
2018-03-24-southern-lakes,southern-lakes,162,00:38:12,01:02:45.5,00:30:07,00:53:34.5
2018-03-25-albany-lakes,albany-lakes,348,00:40:31,01:03:04.5,00:32:59,00:50:57
2018-03-25-huntly,huntly,126,00:42:59,01:09:59,00:37:30,00:57:42
2018-04-08-waterfront,waterfront,569,00:36:46,01:10:07,00:32:391,00:59:12
2018-04-15-tauranga,tauranga,234,00:35:08,01:03:32,00:32:53,00:53:57
2018-05-05-waiheke,waiheke,488,00:42:28,01:14:10,00:36:55,01:01:23
2018-05-12-hawkes-bay,hawkes-bay,1117,00:38:09,01:09:54,00:36:56,01:00:44
2018-05-27-manawatu-striders,manawatu-striders,160,00:46:07,01:02:20.5,00:39:20,00:52:41.5
2018-06-03-christchurch,christchurch,1169,00:34:17,01:04:58,00:30:19,00:54:43
2018-06-03-mt-runners,mt-runners,356,00:38:08,01:03:54,00:34:58,00:55:10
2018-07-01-wellington,wellington,980,00:37:35,01:04:39.000000,00:34:23,00:56:21
2018-08-04-taupo,taupo,407,00:41:39,01:06:17,00:33:09,00:56:22
2018-09-30-devonport,devonport,394,00:43:28,01:07:281,00:32:091,00:58:26
2018-09-30-hamilton,hamilton,241,00:41:04,01:04:25.000000,00:33:47,00:56:30.5
2018-10-07-new-plymouth,new-plymouth,86,00:48:13,01:07:10.5,00:38:39,00:53:20
2018-11-17-queenstown,queenstown,1892,00:36:04,01:08:52,00:32:12.000000,00:59:20.5
