event,coefficients,stderr,n,course
southern-lakes,-0.0670407037571609,0.0148918709960755,39,lakes
tauranga,-0.0224586698790262,0.0130697861971858,70,tauranga
christchurch,-0.0209178107695712,0.00681052704527191,834,christchurch
hamilton,-0.0112456816201489,0.00977846964042681,195,hamilton
taupo,-0.00746211736438661,0.00785096443805368,248,taupo
manawatu-striders,-0.00465496129830326,0.015254732092454,51,striders
podium-rotorua,-0.00326429730929336,0.00988593571082348,147,rotorua
queenstown,-0.000183741122222907,0.00619171564628886,1040,queenstown
*wellington,0,0,1190,*wellington
mt-runners,0.00826087623292837,0.0094309121794691,219,runners
new-plymouth,0.0125287564605569,0.0327133412704333,17,plymouth
waterfront,0.0162355831203379,0.0099507441830386,124,waterfront
wellington-round-the-bays,0.0239040802729325,0.00330118029652683,2351,round-the-bays
devonport,0.0284083310011989,0.00936581109608338,296,devonport
huntly,0.031718426390145,0.0127606155401992,93,huntly
omaha,0.0376857917181897,0.010183537838043,163,omaha
waiheke,0.0471810319206155,0.00940618904226367,231,waiheke
hawkes-bay,0.0535306544370777,0.00538265059528874,657,bay
