event,coefficients,stderr,n,course
2018-03-24-southern-lakes,-0.0624667424860566,0.0136031652609781,48,southern-lakes
2017-02-12-albany-lakes,-0.0427572915219007,0.00859113550690604,298,albany-lakes
2017-02-26-albany-lakes,-0.0403774386004755,0.00852121842346494,312,albany-lakes
2018-04-15-tauranga,-0.0379084547350964,0.0131519821712699,54,tauranga
2017-04-01-southern-lakes,-0.0377178305360118,0.0159837183653283,32,southern-lakes
2018-05-27-manawatu-striders,-0.0329838121593181,0.0164361081122802,30,manawatu-striders
2018-03-25-albany-lakes,-0.0327133701862278,0.00875027308926218,250,albany-lakes
2018-02-25-albany-lakes,-0.0319493699057977,0.00881594391727404,252,albany-lakes
2016-06-05-christchurch,-0.0292595191345869,0.00797666661265978,261,christchurch
2016-02-14-albany-lakes,-0.0273417634576717,0.00855486614161787,331,albany-lakes
2016-02-28-albany-lakes,-0.026391812786079,0.00858562940965884,321,albany-lakes
2018-08-04-taupo,-0.0246446241864116,0.00951230492086299,110,taupo
2018-09-30-hamilton,-0.02386724528806,0.0119156211429977,62,hamilton
2017-06-04-christchurch,-0.0200507862268586,0.00779338355484977,298,christchurch
2018-06-03-christchurch,-0.0197220241074785,0.00770629870940634,288,christchurch
2016-11-27-podium-rotorua,-0.0174245180204783,0.0103234978308816,90,podium-rotorua
2016-10-02-hamilton,-0.016397593583075,0.01167167351577,74,hamilton
2016-06-05-mt-runners,-0.0160332612336199,0.0119409316437502,72,mt-runners
2017-08-05-taupo,-0.0146654288523165,0.00937267555677305,109,taupo
2017-04-09-tauranga,-0.0136870352001536,0.0178030831619482,25,tauranga
2016-05-29-manawatu-striders,-0.0136651289651362,0.0150825181440777,37,manawatu-striders
2017-05-28-manawatu-striders,-0.0131147250982776,0.0140606170982926,43,manawatu-striders
2017-06-18-wellington,-0.012995008551735,0.00543086709502441,405,wellington
2017-10-08-hamilton,-0.00912222065195145,0.0123030038577828,64,hamilton
2017-01-22-albany-lakes,-0.00780096602963743,0.00863394830948809,286,albany-lakes
2018-10-07-new-plymouth,-0.00697908776196057,0.0313155222944952,9,new-plymouth
2016-08-06-taupo,-0.00638819065906062,0.010644878689272,77,taupo
2017-11-18-queenstown,-0.00284172278070716,0.00726697791269032,389,queenstown
2016-11-19-queenstown,-0.00190397793677378,0.00742743021371026,313,queenstown
2017-11-26-podium-rotorua,-0.00124855704455258,0.0113345037734079,74,podium-rotorua
2018-11-17-queenstown,-0.00113714217478058,0.00723173546654958,352,queenstown
2018-04-08-waterfront,-0.000677185383085257,0.00900811049917633,146,waterfront
2016-01-24-albany-lakes,-0.000494532116954834,0.00862807035026449,305,albany-lakes
*2018-07-01-wellington,0,0,350,wellington
2018-01-21-albany-lakes,0.00405383353072411,0.00880391585984118,246,albany-lakes
2017-06-04-mt-runners,0.0044935799240212,0.012324774213407,59,mt-runners
2018-09-30-devonport,0.0052920785285878,0.0103353346848796,92,devonport
2016-06-26-wellington,0.00588137490120529,0.00538324853534145,447,wellington
2017-03-19-huntly,0.00694133973167466,0.0140806266823536,47,huntly
2016-02-21-wellington-round-the-bays,0.00968993747502776,0.00520352240292256,724,wellington-round-the-bays
2017-09-24-devonport,0.0134230202400366,0.00972783045686742,123,devonport
2016-09-25-devonport,0.0137337465256207,0.0104556690644246,103,devonport
2017-10-01-new-plymouth,0.0174132950213544,0.0230202023131622,20,new-plymouth
2018-06-03-mt-runners,0.0180981967545905,0.0106675861417579,99,mt-runners
2016-12-04-omaha,0.0197970746156337,0.0122056262475697,64,omaha
2017-02-19-wellington-round-the-bays,0.0206036507906394,0.00507266006792018,873,wellington-round-the-bays
2017-12-10-omaha,0.0234430655809184,0.00987629586071342,110,omaha
2016-03-20-huntly,0.0257858027353575,0.0140136283616915,46,huntly
2018-03-25-huntly,0.0267362924328727,0.0160931295400284,32,huntly
2018-05-05-waiheke,0.0297877007543934,0.0110478949718549,84,waiheke
2018-02-18-wellington-round-the-bays,0.0338546451264534,0.00497471845027921,774,wellington-round-the-bays
2018-05-12-hawkes-bay,0.0350271762427783,0.00714324159752102,231,hawkes-bay
2017-05-13-hawkes-bay,0.0364533986866173,0.00711447317885189,255,hawkes-bay
2017-05-06-waiheke,0.0373514745276229,0.010644485186919,103,waiheke
2016-05-07-waiheke,0.0479515589750152,0.0103973793832085,103,waiheke
2015-10-04-new-plymouth,0.0673310862473012,0.0240476483127095,16,new-plymouth
2016-05-14-hawkes-bay,0.0798611158160173,0.0076519021303172,182,hawkes-bay
