event,course,n,female1,femalemedian,male1,malemedian
2016-02-21-wellington-round-the-bays,wellington-round-the-bays,2702,00:37:21,01:06:27,00:34:22.000000,00:56:101
2016-03-20-huntly,huntly,95,01:00:191,01:10:44.5,01:00:51,01:09:15
2016-05-07-waiheke,waiheke,589,01:00:03,01:23:451,01:00:12,01:14:48
2016-05-14-hawkes-bay,hawkes-bay,916,00:42:48,01:11:18,00:38:131,01:03:251
2016-05-29-manawatu-striders,manawatu-striders,59,01:00:25.000000,01:10:461,01:03:06,01:06:241
2016-06-05-christchurch,christchurch,1162,00:38:161,01:03:21,00:31:221,00:53:45.5
2016-06-05-mt-runners,mt-runners,394,00:43:36,01:01:461,00:35:58.000000,00:53:131
2016-06-26-wellington,wellington,1091,00:36:25.000000,01:03:121,00:33:101,00:55:15
2016-08-06-taupo,taupo,198,01:00:06,01:10:18,01:01:011,01:11:36.5
2016-09-25-devonport,devonport,338,00:42:01.000000,01:16:24,00:39:12,01:00:071
2016-10-02-hamilton,hamilton,315,00:36:48,01:07:12,00:33:49.000000,00:58:121
2016-11-19-queenstown,queenstown,1513,00:37:131,01:08:39,00:34:28.000000,00:58:45
2016-11-27-podium-rotorua,podium-rotorua,432,00:40:19.000000,01:13:57,00:32:06,00:59:39
2016-12-04-omaha,omaha,171,00:45:39,01:15:42.5,00:41:55.000000,01:00:06
2017-02-19-wellington-round-the-bays,wellington-round-the-bays,2721,00:36:04.000000,01:08:14.000000,00:33:06,00:56:48
2017-03-19-huntly,huntly,187,00:39:31.000000,01:07:211,00:35:011,00:57:09
2017-04-09-tauranga,tauranga,118,00:39:04.000000,01:03:19.000000,00:34:491,00:52:00
2017-05-06-waiheke,waiheke,437,00:43:43.000000,01:14:551,00:37:09,01:01:46.000000
2017-05-13-hawkes-bay,hawkes-bay,962,00:41:18,01:09:041,00:35:51,00:59:15
2017-05-28-manawatu-striders,manawatu-striders,87,01:00:00,01:07:27,01:01:43.000000,01:16:54.5
2017-06-04-christchurch,christchurch,982,00:37:21,01:04:48,00:30:30,00:54:44.000000
2017-06-04-mt-runners,mt-runners,313,00:37:45,01:03:221,00:34:581,00:54:59.000000
2017-06-18-wellington,wellington,862,00:36:42,01:03:22.000000,00:33:19.000000,00:54:431
2017-08-05-taupo,taupo,364,00:40:01.000000,01:06:451,00:39:19.000000,00:56:09
2017-09-24-devonport,devonport,378,00:43:12,01:12:42,00:38:011,00:59:20.5
2017-10-01-new-plymouth,new-plymouth,56,01:00:30,01:16:52.000000,01:01:251,01:11:461
2017-10-08-hamilton,hamilton,213,00:40:521,01:05:40.5,00:34:58.000000,00:56:30
2017-11-18-queenstown,queenstown,1723,00:39:011,01:08:27,00:33:28.000000,00:59:221
2017-11-26-podium-rotorua,podium-rotorua,375,00:36:52.000000,01:11:45.5,00:33:31.000000,00:59:21
2017-12-10-omaha,omaha,368,00:41:431,01:14:16.5,00:38:04.000000,00:59:07.5
2018-02-18-wellington-round-the-bays,wellington-round-the-bays,2946,00:36:57,01:08:46.000000,00:32:071,00:58:27
2018-03-24-southern-lakes,southern-lakes,162,00:38:12,01:02:45.5,00:30:07.000000,00:53:34.5
2018-03-25-huntly,huntly,126,00:42:581,01:09:581,00:37:30,00:57:42
2018-04-08-waterfront,waterfront,569,00:36:46.000000,01:10:07.000000,00:32:40.000000,00:59:12
2018-04-15-tauranga,tauranga,234,00:35:071,01:03:311,00:32:521,00:53:57
2018-05-05-waiheke,waiheke,488,00:42:28.000000,01:14:091,00:36:55.000000,01:01:23.000000
2018-05-12-hawkes-bay,hawkes-bay,1117,00:38:09,01:09:54,00:36:551,01:00:44.000000
2018-05-27-manawatu-striders,manawatu-striders,80,01:00:01.000000,01:07:071,01:00:401,01:10:31.000000
2018-06-03-christchurch,christchurch,1169,00:34:161,01:04:58.000000,00:30:19.000000,00:54:421
2018-06-03-mt-runners,mt-runners,356,00:38:071,01:03:54,00:34:58.000000,00:55:10.000000
2018-07-01-wellington,wellington,980,00:37:341,01:04:39.000000,00:34:221,00:56:21
2018-08-04-taupo,taupo,407,00:41:39,01:06:161,00:33:09,00:56:22.000000
2018-09-30-devonport,devonport,394,00:43:28.000000,01:07:29.000000,00:32:10.000000,00:58:26.000000
2018-09-30-hamilton,hamilton,241,00:41:04.000000,01:04:25.000000,00:33:461,00:56:30.5
2018-10-07-new-plymouth,new-plymouth,86,00:48:13.000000,01:07:10.5,00:38:39,00:53:20.000000
2018-11-17-queenstown,queenstown,1892,00:36:04.000000,01:08:52.000000,00:32:12.000000,00:59:20.5
2017-04-01-southern-lakes,southern-lakes,49,01:00:161,01:05:48,01:03:24,01:08:101
2015-10-04-new-plymouth,new-plymouth,83,01:00:00,01:10:51,01:03:34.000000,01:10:431
2018-01-21-albany-lakes,albany-lakes,338,00:42:19.000000,01:06:09.000000,00:34:191,00:51:551
2018-02-25-albany-lakes,albany-lakes,310,00:40:42,01:04:101,00:33:13.000000,00:50:05.5
2018-03-25-albany-lakes,albany-lakes,348,00:40:31.000000,01:03:04.5,00:32:581,00:50:57
2016-01-24-albany-lakes,albany-lakes,409,00:38:23,01:04:46,00:33:091,00:53:25
2016-02-14-albany-lakes,albany-lakes,395,00:38:00,01:01:16,00:32:241,00:51:51.5
2016-02-28-albany-lakes,albany-lakes,416,00:37:54,01:02:45,00:32:38,00:52:15
2017-01-22-albany-lakes,albany-lakes,347,00:38:56,01:03:59,00:34:58,00:52:35
2017-02-12-albany-lakes,albany-lakes,349,00:38:09,01:00:26,00:34:04.000000,00:51:06.5
2017-02-26-albany-lakes,albany-lakes,386,00:38:07,01:01:51,00:34:24,00:50:46
