event,coefficients,stderr,n,course
2018-03-24-southern-lakes,-0.0687229190877463,0.0138324459759861,46,southern-lakes
2017-04-01-southern-lakes,-0.04324531253265,0.0199801468516072,19,southern-lakes
2017-02-12-albany-lakes,-0.0432408956495733,0.00869395523979757,297,albany-lakes
2017-02-26-albany-lakes,-0.0408838356696585,0.00861719985604547,312,albany-lakes
2018-04-15-tauranga,-0.0372946405410513,0.0132736573531719,53,tauranga
2018-03-25-albany-lakes,-0.0334660711769414,0.008838638322765,249,albany-lakes
2018-02-25-albany-lakes,-0.0326015726616053,0.00889788187285457,252,albany-lakes
2016-06-05-christchurch,-0.0297523571871859,0.00805977072879098,257,christchurch
2018-05-27-manawatu-striders,-0.0286957976365427,0.0225378534363634,14,manawatu-striders
2016-02-14-albany-lakes,-0.0280562963421597,0.00864542499497694,331,albany-lakes
2016-02-28-albany-lakes,-0.0270401140677369,0.00867336544023489,321,albany-lakes
2018-08-04-taupo,-0.0251269566018447,0.00975142174077906,105,taupo
2018-09-30-hamilton,-0.0230240181806275,0.0119119479692631,62,hamilton
2018-06-03-christchurch,-0.0198462060416933,0.00775945093364575,287,christchurch
2017-06-04-christchurch,-0.0195779963433637,0.0078348854263363,297,christchurch
2016-11-27-podium-rotorua,-0.0184005855779091,0.0105090246838605,86,podium-rotorua
2016-06-05-mt-runners,-0.0178084702302063,0.0122402709244116,68,mt-runners
2017-08-05-taupo,-0.015732217986261,0.00948872398472445,107,taupo
2017-04-09-tauranga,-0.0154246586954085,0.0187174347384063,22,tauranga
2016-10-02-hamilton,-0.0153819036041952,0.0116640492439815,74,hamilton
2017-06-18-wellington,-0.0136941408849929,0.00542727664241926,404,wellington
2017-01-22-albany-lakes,-0.00829917198145747,0.00872926668553363,286,albany-lakes
2017-10-08-hamilton,-0.00614472089406839,0.0123941756882461,63,hamilton
2017-11-18-queenstown,-0.00330234314662275,0.00729567778930484,389,queenstown
2016-11-19-queenstown,-0.00264826463998389,0.0074596463806236,312,queenstown
2017-11-26-podium-rotorua,-0.00213062972555994,0.0113668486504462,74,podium-rotorua
2018-11-17-queenstown,-0.0021023697176612,0.00726424466430004,351,queenstown
2016-01-24-albany-lakes,-0.00119399933074096,0.00871746131629548,305,albany-lakes
2018-04-08-waterfront,-0.00112553287958038,0.00904741894051945,146,waterfront
*2018-07-01-wellington,0,0,346,wellington
2018-01-21-albany-lakes,0.0033695241932048,0.00888509017289934,246,albany-lakes
2017-06-04-mt-runners,0.00379202600811071,0.012378127083473,59,mt-runners
2016-05-29-manawatu-striders,0.00386580087150365,0.0230155728398745,13,manawatu-striders
2017-05-28-manawatu-striders,0.00390799863513394,0.0175759993114788,24,manawatu-striders
2018-10-07-new-plymouth,0.00436871386155133,0.0360245194075855,8,new-plymouth
2018-09-30-devonport,0.00483093414514916,0.0104036729139996,91,devonport
2016-06-26-wellington,0.00520087544976006,0.00537716534024911,447,wellington
2017-03-19-huntly,0.0065290087600264,0.0144468045984558,44,huntly
2016-02-21-wellington-round-the-bays,0.00901231576533211,0.00520498492780931,721,wellington-round-the-bays
2017-09-24-devonport,0.0131945394858585,0.00976820160610859,123,devonport
2016-09-25-devonport,0.0134835933585423,0.0105000491786847,103,devonport
2018-06-03-mt-runners,0.0168554325230421,0.0107542641242357,98,mt-runners
2016-12-04-omaha,0.0198362152284156,0.0122251446984181,64,omaha
2017-02-19-wellington-round-the-bays,0.0200399854591117,0.00507280779267856,872,wellington-round-the-bays
2017-12-10-omaha,0.0219673303228459,0.00993505450430918,109,omaha
2016-08-06-taupo,0.0231631769712066,0.0141423817957111,40,taupo
2018-03-25-huntly,0.0290540392247049,0.016448585999706,31,huntly
2018-05-05-waiheke,0.0323721775200988,0.0112343844714142,82,waiheke
2018-02-18-wellington-round-the-bays,0.0329651093529273,0.00497677558667671,771,wellington-round-the-bays
2018-05-12-hawkes-bay,0.0356740605247208,0.0071727870581266,230,hawkes-bay
2017-05-13-hawkes-bay,0.0375901344225931,0.0071332454480718,254,hawkes-bay
2017-05-06-waiheke,0.038328530023708,0.0109464276908695,94,waiheke
2017-10-01-new-plymouth,0.038962885135728,0.0315968630347768,13,new-plymouth
2016-05-07-waiheke,0.0703261864538249,0.0122553479462469,64,waiheke
2016-05-14-hawkes-bay,0.0809059405739705,0.00767003143486846,181,hawkes-bay
2016-03-20-huntly,0.0857577657713508,0.018506699516221,23,huntly
2015-10-04-new-plymouth,0.10126952937064,0.0446799772942322,5,new-plymouth
