event,coefficients,stderr,n,course
southern-lakes,-0.0540451802498455,0.00466959113095071,390,lakes
kerikeri,-0.043845706028722,0.00310775533428079,868,kerikeri
christchurch,-0.0343535302679507,0.00262109709059376,2195,christchurch
taupo,-0.0251008518915927,0.00274283762613286,1128,taupo
waterfront,-0.0228606416902021,0.00269692202631113,751,waterfront
tauranga,-0.0228337977765745,0.00398172332454728,404,tauranga
huntly,-0.0197103938801249,0.0033275649060942,592,huntly
hamilton,-0.019677614827722,0.00367404207357502,575,hamilton
mt-runners,-0.016661773562696,0.00375900313013849,508,runners
rotorua,-0.0162099695974716,0.00274152202807843,931,rotorua
podium-rotorua,-0.0142086015754459,0.00348919451831138,528,rotorua
manawatu-striders,-0.0129879408158861,0.00597836904018723,270,striders
new-plymouth,-0.0100186234870339,0.00654749948660257,281,plymouth
tauranga-international,-0.00574209745747152,0.00568430261421813,159,international
wellington,-0.00462665482718677,0.00330990046896441,1711,wellington
auckland,0,0,5121,auckland
coatesville,0.000212915897800719,0.00241813277535238,1122,coatesville
buller-gorge,0.00290994339639062,0.0043950443952502,1105,gorge
hawkes-bay,0.00320648301413422,0.0023195925399796,1625,bay
queenstown,0.00941487930033453,0.00246325028014515,1845,queenstown
omaha,0.00990549992384934,0.00272307351701267,770,omaha
whangarei,0.0121168498315297,0.00465265982240318,366,whangarei
orewa,0.0149649791078786,0.00239680058089862,1148,orewa
north-shore,0.0151792785382882,0.002679510443293,908,shore
devonport,0.0158722069421061,0.00220507518610849,1397,devonport
waiheke,0.021221075964924,0.00319372893202214,627,waiheke
city-to-surf-tauranga,0.0514458580195591,0.0077523602744268,82,to-surf-tauranga
