event,coefficients,stderr,n,course
2016-04-02-southern-lakes,-0.0763671324813839,0.00698751815289967,118,southern-lakes
2018-03-24-southern-lakes,-0.0585205227557921,0.00644627699681571,151,southern-lakes
2017-11-18-kerikeri,-0.055190305397836,0.00402052959362134,421,kerikeri
2016-06-05-christchurch,-0.0493833886662597,0.00344078335740832,906,christchurch
2017-05-06-rotorua,-0.0457714102019182,0.0043437925660039,302,rotorua
2016-11-19-kerikeri,-0.0443059827804497,0.00391968669437615,457,kerikeri
2016-04-30-rotorua,-0.0434444114542189,0.00419777056410007,335,rotorua
2017-04-01-southern-lakes,-0.0429980673355233,0.00681873110483613,130,southern-lakes
2018-09-30-hamilton,-0.039784633710466,0.00582431739817513,166,hamilton
2017-04-09-tauranga,-0.0395183630818328,0.00658511083145791,120,tauranga
2016-06-05-mt-runners,-0.0390456138348552,0.00536258851065355,203,mt-runners
2018-08-04-taupo,-0.0374791984010675,0.00398760842040524,405,taupo
2018-06-03-christchurch,-0.0339252722266386,0.00348917534453879,668,christchurch
2016-03-20-huntly,-0.0332778960447178,0.00500873987425711,219,huntly
2016-04-10-tauranga,-0.0324055348055918,0.00632553679719314,133,tauranga
2018-05-27-manawatu-striders,-0.0301488366655564,0.00823786426118598,89,manawatu-striders
2017-06-04-christchurch,-0.0294440453588561,0.00347550314167461,727,christchurch
2016-11-27-podium-rotorua,-0.0279948922091962,0.00488146348239493,238,podium-rotorua
2016-08-06-taupo,-0.026957573877783,0.00403342733934373,392,taupo
2018-04-08-waterfront,-0.0257281285935144,0.00300653088204092,750,waterfront
2017-10-01-new-plymouth,-0.0253995508502894,0.00823884137302464,103,new-plymouth
2018-09-22-tauranga-international,-0.0252426085656987,0.00600599966414083,146,tauranga-international
2017-08-05-taupo,-0.0247849608510416,0.00423571585050422,346,taupo
2018-03-25-huntly,-0.0245183179585581,0.00572373587259041,154,huntly
2016-02-13-buller-gorge,-0.0216905085290749,0.00534239574393355,227,buller-gorge
2017-10-08-hamilton,-0.0205829246245203,0.00529175292204405,204,hamilton
2017-05-28-manawatu-striders,-0.0204881694886159,0.00796151310586032,96,manawatu-striders
2017-06-04-mt-runners,-0.0196999307393507,0.00606208356015174,147,mt-runners
2018-10-07-new-plymouth,-0.019665727988554,0.00889030050366037,86,new-plymouth
2018-04-15-tauranga,-0.0189421567034414,0.00585952636506013,154,tauranga
2017-02-19-wellington,-0.0170461629014475,0.00400898380575855,642,wellington
2017-03-19-huntly,-0.0160797607944754,0.00494861723036723,221,huntly
