event,coefficients,stderr,n,course
2016-04-02-southern-lakes,-0.0757831363829509,0.0068341682296499,120,southern-lakes
2018-03-24-southern-lakes,-0.0569702745822874,0.00612318962308293,156,southern-lakes
2017-11-18-kerikeri,-0.0560884252358538,0.00384120483888624,456,kerikeri
2016-06-05-christchurch,-0.0511643603634846,0.00331769794630743,925,christchurch
2017-05-06-rotorua,-0.0473865304199296,0.00425940003636366,309,rotorua
2016-11-19-kerikeri,-0.0462081598989249,0.00377326564956732,476,kerikeri
2017-04-01-southern-lakes,-0.0458823244807576,0.00659080755761406,131,southern-lakes
2016-04-30-rotorua,-0.0441543290715791,0.00411287332265652,342,rotorua
2017-04-09-tauranga,-0.0411430677370635,0.00653747429310711,120,tauranga
2018-09-30-hamilton,-0.040655299790272,0.00575494625804889,168,hamilton
2018-11-17-kerikeri,-0.0398978227649816,0.00408482420557615,373,kerikeri
2016-06-05-mt-runners,-0.0393022294330622,0.00529875469633066,205,mt-runners
2018-08-04-taupo,-0.0377905620905844,0.00388988290822129,417,taupo
2017-06-18-wellington,-0.0350511376527797,0.00374180657053999,502,wellington
2016-03-20-huntly,-0.0339508831523454,0.00497207439373789,218,huntly
2018-05-27-manawatu-striders,-0.0337193457677174,0.00771615201493615,95,manawatu-striders
2018-06-03-christchurch,-0.0329964786314623,0.00332836132686523,711,christchurch
2016-04-10-tauranga,-0.0327611445588074,0.00627627740718851,133,tauranga
2017-06-04-christchurch,-0.0300043683104963,0.00333929156516132,751,christchurch
2016-11-27-podium-rotorua,-0.0294373411723333,0.00474287760779497,251,podium-rotorua
2016-08-06-taupo,-0.0285657255338455,0.00395198324491361,399,taupo
2017-10-01-new-plymouth,-0.0263574597368317,0.00799660203389788,103,new-plymouth
2018-04-08-waterfront,-0.026228194918155,0.00296277788574502,758,waterfront
2018-03-25-huntly,-0.02553104358606,0.00566833111425722,155,huntly
2017-08-05-taupo,-0.0251992697417939,0.00413624561025162,355,taupo
2018-09-22-tauranga-international,-0.0241187457280394,0.00592454615986899,149,tauranga-international
2016-02-13-buller-gorge,-0.0239109493804511,0.00515775402589463,233,buller-gorge
2017-05-28-manawatu-striders,-0.0235463683135427,0.00738393820946723,104,manawatu-striders
2018-07-01-wellington,-0.0231395834538328,0.00375813932547097,495,wellington
2016-06-26-wellington,-0.0217734688602199,0.00357254155928459,580,wellington
2017-10-08-hamilton,-0.0210632770361099,0.00523266166245037,206,hamilton
2017-06-04-mt-runners,-0.0208264063598598,0.00601421896434809,147,mt-runners
2018-04-15-tauranga,-0.0204923931501622,0.00581054861973704,154,tauranga
2018-10-07-new-plymouth,-0.0191419106092415,0.00843047360925388,91,new-plymouth
2017-03-19-huntly,-0.0162808210630761,0.00487725667540677,224,huntly
2017-11-26-podium-rotorua,-0.0162255282201878,0.00442310638193638,291,podium-rotorua
2016-10-02-hamilton,-0.0162134352454609,0.00518513644226023,214,hamilton
2016-10-30-auckland,-0.0158676945136207,0.00227425131343452,1802,auckland
2016-02-21-wellington-round-the-bays,-0.0154295744402475,0.00381103230319814,589,wellington-round-the-bays
2017-02-19-wellington-round-the-bays,-0.0151509424087842,0.00357854165565032,730,wellington-round-the-bays
2017-10-07-tauranga-international,-0.0116562472448176,0.00556688373205204,168,tauranga-international
2016-10-02-new-plymouth,-0.0112055904405421,0.00779057315533962,101,new-plymouth
2016-04-17-orewa,-0.0106479388578297,0.00404886205920152,335,orewa
2018-06-03-mt-runners,-0.00932262101303141,0.00566874252086339,166,mt-runners
2016-05-29-manawatu-striders,-0.00787115065075332,0.00802271523737256,90,manawatu-striders
2017-11-18-queenstown,-0.00777575309938687,0.002926096161646,1149,queenstown
2016-09-18-whangarei,-0.00757784011046869,0.00636417364154702,135,whangarei
2018-03-18-coatesville,-0.00726078473807257,0.0036787868597424,400,coatesville
2017-05-13-hawkes-bay,-0.00712507342331495,0.00345421458333645,586,hawkes-bay
2018-05-12-hawkes-bay,-0.00606983638571235,0.00347248330696826,569,hawkes-bay
2017-03-19-coatesville,-0.00534831998420601,0.00346905926157005,481,coatesville
2016-09-11-north-shore,-0.00339195237306882,0.004307690350652,292,north-shore
2017-05-13-blenheim-vineyard,-0.00173561762236939,0.00400674244247298,460,blenheim-vineyard
2018-05-05-waiheke,-0.00106192172008922,0.00550348659334571,174,waiheke
2016-03-20-coatesville,-0.000140946893728876,0.00465253707535306,238,coatesville
*2018-10-28-auckland,0,0,1578,auckland
2018-05-12-blenheim-vineyard,3.88519855507948e-05,0.00396143989886792,454,blenheim-vineyard
2018-11-17-queenstown,0.000141913589569627,0.00293390896938133,1090,queenstown
2016-12-04-omaha,0.000484832986239973,0.00413867578608608,301,omaha
2017-04-23-orewa,0.00117603671004134,0.00356838984782021,449,orewa
2017-10-29-auckland,0.00182165223420277,0.00217899088263343,1915,auckland
2016-05-14-blenheim-vineyard,0.00249511187078547,0.00412401430847638,424,blenheim-vineyard
2018-09-23-whangarei,0.00356681295489386,0.00626757210088384,140,whangarei
2018-02-18-wellington-round-the-bays,0.0041555968160971,0.00364795853413897,646,wellington-round-the-bays
2016-05-14-hawkes-bay,0.00454110755828374,0.00343936449620485,586,hawkes-bay
2017-09-03-north-shore,0.00705106023384457,0.00424878891360366,300,north-shore
2017-12-10-omaha,0.00907271732535052,0.00351261867288516,468,omaha
2018-09-30-devonport,0.00941363392420001,0.0034732008572681,477,devonport
2017-02-11-buller-gorge,0.0111473362358833,0.00484256742562467,446,buller-gorge
2018-02-10-buller-gorge,0.0111473362359231,0.00484256742562114,446,buller-gorge
2017-09-24-devonport,0.0114502428406469,0.00344341911795629,485,devonport
2017-05-06-waiheke,0.0128474759324606,0.00502327133739199,214,waiheke
2016-09-25-devonport,0.0139558366987404,0.00362264817049315,434,devonport
2016-11-19-queenstown,0.0140029440305093,0.00293091149449987,1113,queenstown
2017-09-17-whangarei,0.0237156727179775,0.00667031348771229,119,whangarei
2018-09-02-north-shore,0.0240661273052411,0.00408500157186161,329,north-shore
2018-05-05-rotorua,0.0242380876733434,0.00420850950554197,314,rotorua
2016-05-07-waiheke,0.0298668370484846,0.00467287629012504,253,waiheke
2018-02-11-orewa,0.0366758867215987,0.00382174511473898,358,orewa
2017-11-05-city-to-surf-tauranga,0.0442747437006226,0.00754432174485266,86,city-to-surf-tauranga
2017-09-17-omaha,0.0559442055138507,0.0792602503640559,1,omaha
