event,course,n,female1,femalemedian,male1,malemedian
2014-02-08-buller-gorge,buller-gorge,122,03:12:581,04:32:08.5,02:40:10.000000,03:57:15.5
2014-03-02-mountain-to-surf,mountain-to-surf,198,02:57:341,04:11:52.000000,02:39:58.000000,03:52:011
2014-05-03-rotorua,rotorua,3514,02:45:58.000000,04:54:24,02:27:45,04:23:191
2014-06-01-christchurch,christchurch,382,02:43:40.000000,04:06:40.000000,02:16:28.000000,03:49:54
2014-06-22-wellington,wellington,375,03:20:19.000000,04:13:37.5,02:37:25.000000,03:51:15
2014-09-07-north-shore,north-shore,131,03:19:15,04:22:431,03:00:431,04:17:05.000000
2014-11-02-auckland,auckland,2307,02:47:401,04:36:071,02:27:37.000000,04:10:05.5
2014-11-08-feilding,feilding,72,03:32:37.000000,04:57:24,02:47:07.000000,04:07:011
2015-02-14-buller-gorge,buller-gorge,152,03:09:37.000000,04:31:21.5,02:28:27,04:01:21.5
2015-03-07-mountain-to-surf,mountain-to-surf,185,03:01:55.000000,04:22:491,02:41:101,04:00:27
2015-05-02-rotorua,rotorua,1172,02:53:22.000000,04:50:03,02:29:03,04:10:401
2015-05-31-christchurch,christchurch,515,02:45:401,04:10:57,02:24:10.000000,03:50:341
2015-07-05-wellington,wellington,416,02:49:011,04:15:10.5,02:40:10.000000,03:53:40.5
2015-08-01-taupo,taupo,277,03:15:10.000000,04:48:391,02:42:30,04:09:06
2015-09-06-north-shore,north-shore,159,03:35:42,04:32:28.000000,02:50:22.000000,04:03:31.5
2015-11-01-auckland,auckland,1508,02:42:341,04:32:33,02:27:01.000000,04:05:23.5
2015-11-07-feilding,feilding,28,03:36:55.000000,04:38:21.5,02:54:10.000000,04:09:58.5
2015-11-21-queenstown,queenstown,1609,02:55:52.000000,04:36:54,02:30:281,04:11:16.000000
2016-02-13-buller-gorge,buller-gorge,155,03:05:25.000000,04:27:46.000000,02:59:16.000000,04:04:33.5
2016-03-05-mountain-to-surf,mountain-to-surf,188,03:05:011,04:29:04.5,02:22:00,03:51:18
2016-04-30-rotorua,rotorua,1018,02:55:25.000000,05:05:131,02:27:39,04:22:041
2016-05-14-hawkes-bay,hawkes-bay,780,03:00:42,04:47:28.000000,02:35:10.000000,04:23:58.5
2016-06-05-christchurch,christchurch,449,02:50:09,04:10:42,02:24:48,03:50:251
2016-06-26-wellington,wellington,335,03:02:431,04:36:00.5,02:36:55.000000,03:57:401
2016-08-06-taupo,taupo,225,03:30:371,04:49:49.5,02:47:221,04:15:57
2016-09-11-north-shore,north-shore,156,03:35:01.000000,04:36:521,02:48:401,04:22:07.000000
2016-10-30-auckland,auckland,1632,02:47:43.000000,04:36:131,02:20:36,04:08:07.000000
2016-11-05-feilding,feilding,32,03:37:22.000000,04:22:55.000000,03:19:281,04:23:31.000000
2016-11-19-queenstown,queenstown,1539,03:00:48,04:46:45,02:39:39,04:21:131
2017-02-11-buller-gorge,buller-gorge,167,02:55:071,04:22:12.5,02:43:52.000000,03:59:401
2017-03-04-mountain-to-surf,mountain-to-surf,159,03:06:51,04:13:581,02:42:55.000000,04:08:101
2017-05-06-rotorua,rotorua,833,02:54:131,05:03:571,02:21:58.000000,04:23:281
2017-05-13-hawkes-bay,hawkes-bay,402,03:04:041,04:38:09.5,02:27:071,04:12:42
2017-06-04-christchurch,christchurch,420,02:55:43.000000,04:15:51.5,02:24:071,03:50:221
2017-06-18-wellington,wellington,338,02:48:341,04:24:33,02:22:42,03:59:01.000000
2017-08-05-taupo,taupo,205,03:23:52.000000,04:52:42,02:43:251,04:11:00
2017-09-03-north-shore,north-shore,165,03:39:551,04:55:59.000000,02:39:45,04:15:42
2017-10-07-tauranga-international,tauranga-international,280,03:02:57,04:25:05.5,02:37:01.000000,04:13:30
2017-10-29-auckland,auckland,1565,02:54:101,04:42:39.5,02:24:13.000000,04:10:491
2017-11-04-feilding,feilding,21,04:02:39,04:50:341,03:10:341,04:32:13.000000
2017-11-18-queenstown,queenstown,1531,02:52:18,04:45:35.5,02:27:55.000000,04:20:00
2018-02-11-buller-gorge,buller-gorge,160,02:56:16.000000,04:45:42,02:16:03.000000,04:02:25.000000
2018-03-03-mountain-to-surf,mountain-to-surf,142,03:19:46.000000,04:41:48,02:48:25.000000,04:19:06.000000
2018-05-05-rotorua,rotorua,940,02:46:431,05:01:48,02:28:581,04:18:31.000000
2018-05-12-hawkes-bay,hawkes-bay,417,03:11:19.000000,04:46:48,02:32:51,04:20:22.5
2018-06-03-christchurch,christchurch,405,02:48:011,04:15:57,02:27:37.000000,03:50:48
2018-07-01-wellington,wellington,315,03:05:011,04:20:51.000000,02:40:04.000000,04:03:12
2018-08-04-taupo,taupo,192,03:17:34.000000,04:34:101,02:48:071,04:09:11.000000
2018-09-02-north-shore,north-shore,170,03:05:24,04:54:27.5,02:54:011,04:33:181
2018-09-22-tauranga-international,tauranga-international,221,03:03:04.000000,04:19:04.000000,02:37:48,04:07:42
2018-10-28-auckland,auckland,1649,02:48:251,04:40:19.5,02:24:06,04:08:40.000000
2018-11-03-feilding,feilding,28,03:44:55.000000,04:48:07.5,02:32:131,03:56:37.5
2018-11-17-queenstown,queenstown,1906,02:52:10.000000,04:51:39.5,02:32:09,04:20:23.5
