event,coefficients,stderr,n,course
mountain-to-surf,-0.0240588344338888,0.00407911850125029,426,to-surf
christchurch,-0.0161169163017378,0.00312631295200906,1127,christchurch
feilding,-0.00552797608091879,0.00869453331417361,71,feilding
wellington,-0.00324832374853904,0.00312069609670692,913,wellington
*auckland,0,0,2949,*auckland
buller-gorge,0.00748249613223887,0.00480251894157761,373,gorge
rotorua,0.0122510232965,0.00218523437958112,2626,rotorua
tauranga-international,0.0149860639748386,0.00473448402323288,257,international
north-shore,0.0267032938277319,0.00386712662228921,413,shore
taupo,0.0267879837835616,0.00403475398275817,412,taupo
queenstown,0.0349093534400345,0.00287922770690081,1508,queenstown
hawkes-bay,0.046099769491115,0.00353039939720857,587,bay
