event,coefficients,stderr,n,course
2018-06-03-christchurch,-0.0453831386091731,0.00982971713563644,78,christchurch
2013-06-23-wellington,-0.0360519913533807,0.00699433869438465,183,wellington
2017-06-04-christchurch,-0.0113808004048589,0.0087730251816121,104,christchurch
2015-05-31-christchurch,-0.0108725509949254,0.00836573102621496,117,christchurch
2014-06-22-wellington,-0.00807883805787709,0.00755690795626247,145,wellington
2016-06-05-christchurch,-0.00787967392473068,0.00931239996706106,92,christchurch
2015-07-05-wellington,-0.00118750344424969,0.00699445075420765,176,wellington
*2016-10-30-auckland,0,0,428,auckland
2014-06-01-christchurch,0.00147170862672512,0.00943494169355869,86,christchurch
2018-10-28-auckland,0.00184344952556202,0.00514210670217778,411,auckland
2012-06-03-christchurch,0.00203217296304138,0.0104687142971374,70,christchurch
2017-06-18-wellington,0.00529565819514265,0.00743464502353179,141,wellington
2010-06-06-christchurch,0.00564030472341806,0.00927869889103881,99,christchurch
2016-06-26-wellington,0.00578408342097275,0.00760151469714286,141,wellington
2013-06-02-christchurch,0.00744144823511192,0.0107622919828798,68,christchurch
2015-05-02-rotorua,0.00856052954848345,0.00517470471944065,472,rotorua
2018-08-04-taupo,0.00984552575991158,0.00953499645311758,72,taupo
2012-04-28-rotorua,0.0103329798042514,0.00535931369167318,461,rotorua
2018-03-03-mountain-to-surf,0.015286910290652,0.012996645889047,37,mountain-to-surf
2017-10-29-auckland,0.0159045287168317,0.00492108379749958,460,auckland
2015-08-01-taupo,0.0161567081915005,0.00819885021517762,110,taupo
2014-05-03-rotorua,0.0166171668147057,0.00461302788662769,975,rotorua
2018-07-01-wellington,0.0170067690470724,0.00800065601013445,120,wellington
2017-10-07-tauranga-international,0.0185925416600352,0.00803197159854185,118,tauranga-international
2016-04-30-rotorua,0.0192515390700806,0.00544506341527362,350,rotorua
2018-09-22-tauranga-international,0.0221187614316241,0.00858750846489012,91,tauranga-international
2011-04-30-rotorua,0.0224921035444276,0.00549972152099284,398,rotorua
2013-05-04-rotorua,0.0231830542134663,0.00530854190358405,468,rotorua
2017-05-06-rotorua,0.0246453761356792,0.00567119471525602,308,rotorua
2011-06-05-christchurch,0.0257067148828784,0.0109968275300366,62,christchurch
2015-11-21-queenstown,0.0279506670167774,0.00605900525327588,322,queenstown
2018-05-05-rotorua,0.0296767717913877,0.0054894714119898,346,rotorua
2017-11-18-queenstown,0.0317277695317863,0.00637423962113747,269,queenstown
2017-05-13-hawkes-bay,0.0363875900996054,0.00763572964004505,138,hawkes-bay
2017-08-05-taupo,0.0401595174696367,0.00964982935609031,75,taupo
2018-05-12-hawkes-bay,0.0403779504354661,0.00840549650290276,113,hawkes-bay
2016-08-06-taupo,0.0517377565951957,0.00908456240704941,90,taupo
2016-11-19-queenstown,0.0597110221206619,0.00629215053983683,302,queenstown
2016-05-14-hawkes-bay,0.0602361215689066,0.00628462861303801,244,hawkes-bay
