event,course,n,female1,femalemedian,male1,malemedian
*2018-10-28-auckland,*auckland,1649,02:48:26,04:40:19.5,02:24:06,04:08:40
2014-11-02-auckland,*auckland,2307,02:47:41,04:36:08,02:27:37,04:10:05.5
2015-11-01-auckland,*auckland,1508,02:42:35,04:32:33,02:27:01,04:05:23.5
2016-10-30-auckland,*auckland,1632,02:47:43,04:36:14,02:20:36,04:08:07
2017-10-29-auckland,*auckland,1565,02:54:11,04:42:39.5,02:24:13,04:10:50
2014-05-03-rotorua,rotorua,3514,02:45:58,04:54:24,02:27:45,04:23:191
2014-06-01-christchurch,christchurch,382,02:43:40,04:06:40,02:16:28,03:49:54
2014-06-22-wellington,wellington,375,03:20:19,04:13:37.5,02:37:25,03:51:15
2014-09-07-north-shore,north-shore,131,03:19:15,04:22:44,03:00:44,04:17:05
2015-03-07-mountain-to-surf,mountain-to-surf,185,03:01:55,04:22:491,02:41:11,04:00:27
2015-05-02-rotorua,rotorua,1172,02:53:22,04:50:03,02:29:03,04:10:41
2015-05-31-christchurch,christchurch,515,02:45:41,04:10:57,02:24:10,03:50:35
2015-07-05-wellington,wellington,416,02:49:02,04:15:10.5,02:40:10,03:53:40.5
2015-08-01-taupo,taupo,277,03:15:10,04:48:40,02:42:30,04:09:06
2015-09-06-north-shore,north-shore,159,03:35:42,04:32:271,02:50:22,04:03:31.5
2015-11-21-queenstown,queenstown,1609,02:55:52,04:36:54,02:30:29,04:11:16
2016-02-13-buller-gorge,buller-gorge,155,03:05:25,04:27:46,02:59:16,04:04:33.5
2016-03-05-mountain-to-surf,mountain-to-surf,188,03:05:02,04:29:04.5,02:22:00,03:51:18
2016-04-30-rotorua,rotorua,1018,02:55:25,05:05:14,02:27:39,04:22:041
2016-05-14-hawkes-bay,hawkes-bay,780,03:00:42,04:47:28,02:35:10,04:23:58.5
2016-06-05-christchurch,christchurch,449,02:50:09,04:10:42,02:24:48,03:50:26
2016-06-26-wellington,wellington,335,03:02:44,04:36:00.5,02:36:55,03:57:41
2016-08-06-taupo,taupo,225,03:30:38,04:49:49.5,02:47:23,04:15:57
2016-09-11-north-shore,north-shore,156,03:35:01,04:36:53,02:48:41,04:22:07
2016-11-19-queenstown,queenstown,1539,03:00:48,04:46:45,02:39:39,04:21:14
2017-02-11-buller-gorge,buller-gorge,167,02:55:08,04:22:12.5,02:43:52,03:59:41
2017-03-04-mountain-to-surf,mountain-to-surf,159,03:06:51,04:13:59,02:42:55,04:08:11
2017-05-06-rotorua,rotorua,833,02:54:14,05:03:58,02:21:58,04:23:29
2017-05-13-hawkes-bay,hawkes-bay,402,03:04:05,04:38:09.5,02:27:08,04:12:42
2017-06-04-christchurch,christchurch,420,02:55:43,04:15:51.5,02:24:08,03:50:23
2017-06-18-wellington,wellington,338,02:48:35,04:24:33,02:22:42,03:59:01
2017-08-05-taupo,taupo,205,03:23:52,04:52:42,02:43:26,04:11:00
2017-09-03-north-shore,north-shore,165,03:39:56,04:55:59,02:39:45,04:15:42
2017-10-07-tauranga-international,tauranga-international,280,03:02:57,04:25:05.5,02:37:01,04:13:30
2017-11-18-queenstown,queenstown,1531,02:52:18,04:45:35.5,02:27:55,04:20:00
2018-02-11-buller-gorge,buller-gorge,160,02:56:16,04:45:42,02:16:03.000000,04:02:25
2018-03-03-mountain-to-surf,mountain-to-surf,142,03:19:46,04:41:48,02:48:25,04:19:06.000000
2018-05-05-rotorua,rotorua,940,02:46:44,05:01:48,02:28:59,04:18:31
2018-05-12-hawkes-bay,hawkes-bay,417,03:11:19,04:46:48,02:32:51,04:20:22.5
2018-06-03-christchurch,christchurch,405,02:48:02,04:15:57,02:27:37,03:50:48
2018-07-01-wellington,wellington,315,03:05:02,04:20:51.000000,02:40:04,04:03:12
2018-08-04-taupo,taupo,192,03:17:34,04:34:11,02:48:08,04:09:11
2018-09-02-north-shore,north-shore,170,03:05:24,04:54:27.5,02:54:02,04:33:19
2018-09-22-tauranga-international,tauranga-international,221,03:03:04,04:19:04,02:37:48,04:07:42
2018-11-17-queenstown,queenstown,1906,02:52:10,04:51:39.5,02:32:09,04:20:23.5
