event,coefficients,stderr,n,course
2016-03-05-mountain-to-surf,-0.0356823746671648,0.00787306112413585,95,mountain-to-surf
2014-06-01-christchurch,-0.0229768971579631,0.00639387695186526,180,christchurch
2018-06-03-christchurch,-0.0225744496871809,0.00599632542721929,203,christchurch
2015-03-07-mountain-to-surf,-0.0213742948093315,0.00755723242577148,101,mountain-to-surf
2014-06-22-wellington,-0.0198765678636222,0.0063861971012227,172,wellington
2015-05-31-christchurch,-0.0165013552014326,0.00556321340762627,277,christchurch
2017-06-04-christchurch,-0.0128711207400377,0.00592383216355136,216,christchurch
2016-06-05-christchurch,-0.011711266196555,0.00583356475903037,237,christchurch
2015-07-05-wellington,-0.00615500396437336,0.00585460722961015,219,wellington
2015-11-01-auckland,-0.0059758669132346,0.00432695896553534,578,auckland
2017-03-04-mountain-to-surf,-0.0053569673966534,0.008292851498396,85,mountain-to-surf
2016-10-30-auckland,-0.00435697974528403,0.0042107272999427,600,auckland
2017-06-18-wellington,-0.00319429046620597,0.00623411988816203,177,wellington
2017-02-11-buller-gorge,-0.00102780352877087,0.0085859412133129,87,buller-gorge
*2018-10-28-auckland,0,0,499,auckland
2016-06-26-wellington,0.00315745197350305,0.0063313785205881,175,wellington
2014-11-02-auckland,0.00450932014450865,0.00419121951852927,700,auckland
2015-05-02-rotorua,0.004896218170957,0.00453315572848187,538,rotorua
2018-08-04-taupo,0.00739104836109308,0.00796009979958769,89,taupo
2016-02-13-buller-gorge,0.00961397867830402,0.00895127839911198,77,buller-gorge
2014-05-03-rotorua,0.0101001957467174,0.00409321974956581,912,rotorua
2017-10-29-auckland,0.010275420827815,0.00411526212672399,562,auckland
2018-03-03-mountain-to-surf,0.0123024936571858,0.00979513544810635,57,mountain-to-surf
2016-04-30-rotorua,0.0127222925927174,0.00474428945705232,412,rotorua
2014-09-07-north-shore,0.0148185206613657,0.00902468353294273,63,north-shore
2018-07-01-wellington,0.014943023450691,0.00643317011413698,158,wellington
2017-10-07-tauranga-international,0.0163790052165907,0.00677739490727259,141,tauranga-international
2018-09-22-tauranga-international,0.0176266581635082,0.00715689485990378,112,tauranga-international
2016-09-11-north-shore,0.0176298544525251,0.0078544171653052,90,north-shore
2017-05-06-rotorua,0.0180169355950869,0.00493218720530773,350,rotorua
2015-09-06-north-shore,0.020553765365914,0.00810255218840323,84,north-shore
2018-05-05-rotorua,0.0224910730885883,0.00470878539457296,395,rotorua
2015-08-01-taupo,0.0227516231535941,0.00693944818688261,131,taupo
2015-11-21-queenstown,0.0253640738222711,0.00499353250140336,412,queenstown
2018-02-11-buller-gorge,0.0264632783031813,0.00930896480355063,69,buller-gorge
2017-11-18-queenstown,0.0297734369974947,0.00521139518960166,365,queenstown
2017-09-03-north-shore,0.0318397471916569,0.00773710082653878,95,north-shore
2017-05-13-hawkes-bay,0.0341741682320782,0.00659907361129569,159,hawkes-bay
2017-08-05-taupo,0.0381423821539881,0.00830569262907692,85,taupo
2018-05-12-hawkes-bay,0.0412031131303213,0.00708491152411472,135,hawkes-bay
2018-11-17-queenstown,0.0422419403693804,0.005313534100859,339,queenstown
2016-08-06-taupo,0.0475537675727558,0.00773637294432106,106,taupo
2016-11-19-queenstown,0.0515280664260335,0.00520828635388786,374,queenstown
2018-09-02-north-shore,0.0525739531023164,0.00831031512903997,77,north-shore
2016-05-14-hawkes-bay,0.0570592900816706,0.00538572503008123,289,hawkes-bay
